area,quad.num,status
Treatment,1,0
Treatment,2,0
Treatment,3,0
Treatment,4,0
Treatment,5,1
Treatment,6,1
Treatment,7,1
Treatment,8,1
Treatment,9,0
Treatment,10,0
Treatment,11,1
Treatment,12,1
Treatment,13,1
Treatment,14,1
Treatment,15,1
Treatment,16,0
Treatment,17,0
Treatment,18,0
Treatment,19,0
Treatment,20,0
Treatment,21,1
Treatment,22,1
Treatment,23,0
Treatment,24,0
Treatment,25,0
Treatment,26,1
Treatment,27,1
Treatment,28,1
Treatment,29,1
Treatment,30,1
Treatment,31,1
Treatment,32,1
Treatment,33,0
Treatment,34,0
Treatment,35,1
Treatment,36,1
Treatment,37,1
Treatment,38,1
Treatment,39,1
Treatment,40,1
Treatment,41,0
Treatment,42,1
Treatment,43,1
Treatment,44,0
Treatment,45,0
Treatment,46,0
Treatment,47,0
Treatment,48,0
Treatment,49,0
Treatment,50,0
Treatment,51,1
Treatment,52,1
Treatment,53,0
Treatment,54,0
Treatment,55,0
Treatment,56,1
Treatment,57,1
Treatment,58,1
Treatment,59,1
Treatment,60,0
Treatment,61,0
Treatment,62,1
Treatment,63,0
Treatment,64,1
Treatment,65,1
Treatment,66,0
Treatment,67,1
Treatment,68,1
Treatment,69,0
Treatment,70,0
Treatment,71,0
Treatment,72,0
Treatment,73,1
Treatment,74,1
Treatment,75,0
Treatment,76,0
Treatment,77,0
Treatment,78,0
Treatment,79,0
Treatment,80,0
Treatment,81,0
Treatment,82,0
Treatment,83,0
Treatment,84,0
Treatment,85,0
Treatment,86,1
Treatment,87,1
Treatment,88,0
Treatment,89,1
Treatment,90,1
Treatment,91,0
Treatment,92,0
Treatment,93,1
Treatment,94,0
Treatment,95,0
Treatment,96,0
Treatment,97,0
Treatment,98,0
Treatment,99,0
Treatment,100,1
Treatment,101,1
Treatment,102,0
Treatment,103,0
Treatment,104,1
Treatment,105,1
Treatment,106,1
Treatment,107,1
Treatment,108,0
Treatment,109,0
Treatment,110,1
Treatment,111,0
Treatment,112,0
Treatment,113,0
Treatment,114,0
Treatment,115,0
Treatment,116,1
Treatment,117,1
Treatment,118,0
Treatment,119,0
Treatment,120,1
Treatment,121,1
Treatment,122,0
Treatment,123,1
Treatment,124,1
Treatment,125,1
Treatment,126,1
Treatment,127,1
Treatment,128,0
Treatment,129,0
Treatment,130,0
Treatment,131,1
Treatment,132,1
Treatment,133,0
Treatment,134,1
Treatment,135,0
Treatment,136,0
Treatment,137,1
Treatment,138,1
Treatment,139,1
Treatment,140,0
Treatment,141,0
Treatment,142,0
Treatment,143,0
Treatment,144,0
Treatment,145,1
Treatment,146,0
Treatment,147,0
Treatment,148,0
Treatment,149,0
Treatment,150,1
Treatment,151,0
Treatment,152,0
Treatment,153,1
Treatment,154,1
Treatment,155,0
Treatment,156,0
Treatment,157,0
Treatment,158,1
Treatment,159,1
Treatment,160,1
Treatment,161,1
Treatment,162,1
Treatment,163,0
Treatment,164,0
Treatment,165,0
Treatment,166,0
Treatment,167,0
Treatment,168,0
Treatment,169,0
Treatment,170,0
Treatment,171,0
Treatment,172,0
Treatment,173,1
Treatment,174,1
Treatment,175,0
Treatment,176,1
Treatment,177,1
Treatment,178,1
Treatment,179,0
Treatment,180,1
Treatment,181,0
Treatment,182,0
Treatment,183,0
Treatment,184,1
Treatment,185,1
Treatment,186,1
Treatment,187,0
Treatment,188,0
Treatment,189,0
Treatment,190,0
Treatment,191,0
Treatment,192,1
Treatment,193,1
Treatment,194,1
Treatment,195,0
Treatment,196,0
Treatment,197,1
Treatment,198,1
Treatment,199,0
Treatment,200,1
Reference,1,1
Reference,2,1
Reference,3,0
Reference,4,0
Reference,5,0
Reference,6,0
Reference,7,1
Reference,8,1
Reference,9,1
Reference,10,1
Reference,11,0
Reference,12,0
Reference,13,1
Reference,14,1
Reference,15,1
Reference,16,1
Reference,17,1
Reference,18,0
Reference,19,0
Reference,20,0
Reference,21,0
Reference,22,0
Reference,23,1
Reference,24,1
Reference,25,0
Reference,26,0
Reference,27,0
Reference,28,1
Reference,29,1
Reference,30,1
Reference,31,1
Reference,32,1
Reference,33,1
Reference,34,1
Reference,35,0
Reference,36,0
Reference,37,1
Reference,38,1
Reference,39,1
Reference,40,1
Reference,41,1
Reference,42,1
Reference,43,0
Reference,44,1
Reference,45,1
Reference,46,0
Reference,47,0
Reference,48,0
Reference,49,0
Reference,50,0
Reference,51,0
Reference,52,0
Reference,53,1
Reference,54,1
Reference,55,0
Reference,56,0
Reference,57,0
Reference,58,1
Reference,59,1
Reference,60,1
Reference,61,1
Reference,62,0
Reference,63,0
Reference,64,1
Reference,65,0
Reference,66,1
Reference,67,1
Reference,68,0
Reference,69,1
Reference,70,1
Reference,71,0
Reference,72,0
Reference,73,0
Reference,74,0
Reference,75,1
Reference,76,1
Reference,77,0
Reference,78,0
Reference,79,0
Reference,80,0
Reference,81,0
Reference,82,0
Reference,83,0
Reference,84,0
Reference,85,0
Reference,86,0
Reference,87,0
Reference,88,1
Reference,89,1
Reference,90,0
Reference,91,1
Reference,92,1
Reference,93,0
Reference,94,0
Reference,95,1
Reference,96,0
Reference,97,0
Reference,98,1
Reference,99,0
Reference,100,1
Reference,101,0
Reference,102,1
Reference,103,1
Reference,104,0
Reference,105,0
Reference,106,1
Reference,107,1
Reference,108,1
Reference,109,1
Reference,110,0
Reference,111,0
Reference,112,1
Reference,113,0
Reference,114,1
Reference,115,0
Reference,116,0
Reference,117,0
Reference,118,1
Reference,119,1
Reference,120,0
Reference,121,0
Reference,122,1
Reference,123,1
Reference,124,0
Reference,125,1
Reference,126,1
Reference,127,1
Reference,128,1
Reference,129,1
Reference,130,0
Reference,131,0
Reference,132,0
Reference,133,1
Reference,134,1
Reference,135,0
Reference,136,1
Reference,137,0
Reference,138,0
Reference,139,1
Reference,140,1
Reference,141,1
Reference,142,1
Reference,143,1
Reference,144,1
Reference,145,1
Reference,146,1
Reference,147,1
Reference,148,0
Reference,149,1
Reference,150,0
Reference,151,0
Reference,152,1
Reference,153,0
Reference,154,0
Reference,155,1
Reference,156,1
Reference,157,0
Reference,158,0
Reference,159,0
Reference,160,1
Reference,161,1
Reference,162,1
Reference,163,1
Reference,164,1
Reference,165,0
Reference,166,1
Reference,167,1
Reference,168,0
Reference,169,0
Reference,170,0
Reference,171,0
Reference,172,1
Reference,173,1
Reference,174,0
Reference,175,1
Reference,176,1
Reference,177,0
Reference,178,1
Reference,179,1
Reference,180,1
Reference,181,0
Reference,182,1
Reference,183,0
Reference,184,1
Reference,185,0
Reference,186,1
Reference,187,1
Reference,188,1
Reference,189,0
Reference,190,1
Reference,191,1
Reference,192,0
Reference,193,0
Reference,194,1
Reference,195,1
Reference,196,1
Reference,197,1
Reference,198,0
Reference,199,1
Reference,200,1
